trade_date,ts_code,trade_date,close,open,high,low,Z_close,Z_open,Z_high,Z_low
2007-09-25,000001.SH,20070925,5425.88,5500.269,5509.234,5396.482,1.9195031724498521,1.98665905733902,1.9947523575316746,1.8929636477355563
2007-09-26,000001.SH,20070926,5338.52,5407.829,5463.899,5320.02,1.8230971505645153,1.8855140235508874,1.9360083903480703,1.8064368012556535
2007-09-27,000001.SH,20070927,5409.403,5338.108,5411.189,5306.823,1.8685241088558464,1.8044939857592714,1.8701281175500113,1.7763968905762104
2007-09-28,000001.SH,20070928,5552.301,5461.58,5560.417,5461.58,1.9759173963907068,1.894740231762587,1.9831795944277855,1.894740231762587
2007-10-08,000001.SH,20071008,5692.755,5683.31,5729.963,5620.0,2.078082682504006,2.0696695641330054,2.111225647919378,2.0132762847187067
2007-10-09,000001.SH,20071009,5715.892,5678.913,5725.407,5628.35,2.075296889526508,2.042505242455759,2.083734449273342,1.997667792799515
2007-10-10,000001.SH,20071010,5771.464,5742.648,5860.859,5727.238,2.1005949465610683,2.0751602321275806,2.179500287232281,2.0615584501515936
2007-10-11,000001.SH,20071011,5913.23,5798.386,5914.772,5755.99,2.198980388243136,2.09816841849132,2.200333981442235,2.060952505865514
2007-10-12,000001.SH,20071012,5903.264,5950.902,5959.364,5658.812,2.1646609022484435,2.2062665617318853,2.213657029227348,1.9511635540800414
2007-10-15,000001.SH,20071015,6030.086,5934.775,6039.042,5866.131,2.247499875938286,2.164736495591946,2.255276825444448,2.105129425259099
2007-10-16,000001.SH,20071016,6092.057,6056.946,6124.044,6040.713,2.272751994185444,2.2424429596593187,2.3003642834220708,2.2284300703237085
2007-10-17,000001.SH,20071017,6036.281,6057.428,6088.892,5982.203,2.1982495912159687,2.2164087047649015,2.2434271162986237,2.1518123404239335
2007-10-18,000001.SH,20071018,5825.282,6031.916,6055.473,5804.973,1.9960319010910155,2.1728414211983615,2.1929983259921935,1.978654196822308
2007-10-19,000001.SH,20071019,5818.047,5869.124,5932.11,5766.861,1.96940018434255,2.0129582201699074,2.0666721509924284,1.9257491942323421
